Time	L0F1-200_1	L0F2-200_1	L0F3-200_1	L0F4-200_1	L0F5-200_1	L1F1-200_1	L1F2-200_1	L1F3-200_1	L1F4-200_1	L1F5-200_1	L0F1-200_2	L0F2-200_2	L0F3-200_2	L0F4-200_2	L0F5-200_2	L1F1-200_2	L1F2-200_2	L1F3-200_2	L1F4-200_2	L1F5-200_2	L0F1-200_3	L0F2-200_3	L0F3-200_3	L0F4-200_3	L0F5-200_3	L1F1-200_3	L1F2-200_3	L1F3-200_3	L1F4-200_3	L1F5-200_3
16.23	0.039	0.61	0.039	0.039	0.039	0.04	0.42100000000000004	0.039	0.053	0.655	0.04	0.76	0.04	0.04	0.039	0.04	0.461	0.039	0.039	0.6859999999999999	0.039	0.6990000000000001	0.04	0.04	0.039	0.04	0.451	0.039	0.039	0.547
16.48	0.039	0.624	0.039	0.039	0.039	0.04	0.42700000000000005	0.039	0.054000000000000006	0.662	0.04	0.774	0.04	0.04	0.039	0.04	0.467	0.039	0.039	0.696	0.039	0.715	0.04	0.04	0.039	0.04	0.45799999999999996	0.039	0.039	0.5529999999999999
16.75	0.039	0.639	0.039	0.039	0.039	0.04	0.431	0.039	0.055	0.672	0.04	0.79	0.04	0.04	0.039	0.04	0.475	0.039	0.039	0.703	0.039	0.731	0.04	0.04	0.039	0.04	0.46399999999999997	0.039	0.039	0.5589999999999999
17.02	0.039	0.652	0.039	0.039	0.039	0.039	0.436	0.039	0.055999999999999994	0.679	0.04	0.804	0.04	0.04	0.039	0.04	0.483	0.039	0.039	0.71	0.038	0.7440000000000001	0.04	0.04	0.039	0.04	0.47	0.039	0.039	0.5670000000000001
17.28	0.039	0.6659999999999999	0.039	0.039	0.039	0.04	0.441	0.039	0.057	0.685	0.04	0.818	0.04	0.04	0.039	0.04	0.488	0.039	0.039	0.721	0.039	0.7609999999999999	0.04	0.04	0.039	0.04	0.47600000000000003	0.039	0.039	0.573
17.53	0.039	0.6779999999999999	0.039	0.039	0.039	0.04	0.445	0.039	0.059000000000000004	0.696	0.04	0.8340000000000001	0.04	0.04	0.039	0.04	0.496	0.039	0.039	0.728	0.039	0.78	0.04	0.04	0.039	0.04	0.48200000000000004	0.039	0.039	0.58
17.8	0.039	0.69	0.039	0.039	0.039	0.04	0.449	0.039	0.06	0.7020000000000001	0.04	0.846	0.04	0.04	0.039	0.04	0.502	0.039	0.039	0.7390000000000001	0.039	0.7879999999999999	0.04	0.04	0.039	0.04	0.488	0.039	0.039	0.585
18.07	0.039	0.7020000000000001	0.039	0.039	0.039	0.039	0.452	0.039	0.061	0.71	0.04	0.861	0.04	0.04	0.039	0.04	0.51	0.039	0.039	0.745	0.039	0.8009999999999999	0.04	0.04	0.039	0.04	0.493	0.039	0.039	0.5920000000000001
18.32	0.039	0.711	0.039	0.039	0.039	0.04	0.455	0.039	0.063	0.7190000000000001	0.04	0.873	0.04	0.04	0.039	0.04	0.515	0.039	0.039	0.753	0.039	0.813	0.04	0.04	0.039	0.04	0.498	0.039	0.039	0.598
18.58	0.039	0.722	0.039	0.039	0.039	0.039	0.45899999999999996	0.039	0.064	0.726	0.04	0.8859999999999999	0.04	0.04	0.039	0.04	0.521	0.039	0.039	0.7609999999999999	0.038	0.825	0.04	0.04	0.039	0.04	0.504	0.039	0.039	0.605
